role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
gb_sample,411332,193.2700043,109.8759996,159.977005,1,,0.0,,38.2418823
gb_sample,414123,198.8639984,128.9640046,149.3470001,1,,0.0,,-24.6608181
gb_sample,301606,8.1321697,49.6753006,12.0622997,1,,0.0,,-26.4307499
gb_sample,370781,109.137001,94.2065964,77.6389008,1,,0.0,,4.3065329
gb_sample,139937,166.3699951,50.1487007,55.3334007,1,,0.0,,21.0657959
gb_sample,291820,99.9228974,176.2649994,164.4799958,1,,0.0,,11.816639
gb_sample,396059,59.4352989,149.7709961,86.3777008,1,,0.0,,13.5628195
gb_sample,100445,171.3609924,78.7838974,174.6779938,1,,0.0,,8.6598635
gb_sample,149752,8.3636503,76.342598,126.3209992,1,,0.0,,31.0726204
gb_sample,82013,100.4039993,100.8880006,-1.63256,1,,0.0,,44.050518
gb_sample,147787,8.5542803,72.6769028,99.2715988,1,,0.0,,29.8204308
gb_sample,100639,110.9560014,39.4105988,71.856102,1,,0.0,,5.2326312
gb_sample,131353,29.847601,99.4633026,108.1289978,1,,0.0,,40.8230362
gb_sample,89792,158.3170014,72.0251999,33.9005014,1,,0.0,,32.5391388
gb_sample,314925,191.7879944,100.3759995,164.8009949,1,,0.0,,56.0533829
gb_sample,313604,13.1415997,98.9954988,50.8541986,1,,0.0,,33.9422226
gb_sample,287671,75.6182022,3.9386102,151.8040009,1,,0.0,,15.6172047
gb_sample,30847,177.6320038,182.102005,126.5510025,1,,0.0,,28.864851
gb_sample,445386,18.4426003,143.2189942,68.1909027,1,,0.0,,12.9698648
gb_sample,91121,149.6730042,45.1871986,38.5690003,1,,0.0,,-14.8179369
gb_sample,130561,12.1564999,71.6144028,124.3280029,1,,0.0,,21.1289444
gb_sample,76131,46.8941994,133.8430024,28.6490994,1,,0.0,,26.1082916
gb_sample,333512,55.3117981,42.1640015,198.6269989,1,,0.0,,11.4470425
gb_sample,131601,14.1743002,84.4447022,134.5429993,1,,0.0,,39.8639222
gb_sample,287002,51.0341988,164.3289948,166.4680023,1,,0.0,,41.5707779
gb_sample,115066,25.4871006,20.5755997,77.7315979,1,,0.0,,3.0274839
gb_sample,315732,200.7799988,106.1279984,176.8240052,1,,0.0,,47.3335152
gb_sample,212717,191.7330017,97.8422012,152.8930054,1,,0.0,,24.9609738
gb_sample,272627,24.2033005,12.2458,85.2040024,1,,0.0,,-10.0232534
gb_sample,281127,33.524601,159.4839936,127.7429962,1,,0.0,,22.1759262
gb_sample,364720,150.7749939,150.3419953,66.1638031,1,,0.0,,-13.2648897
gb_sample,424106,152.5379944,141.302002,98.3431015,1,,0.0,,-1.1273234
gb_sample,18953,187.7810059,3.81636,182.4420014,1,,0.0,,-9.0541821
gb_sample,181031,57.3594017,8.8471604,72.8079987,1,,0.0,,11.8103113
