atom_id,delta_e_kj_mol
1687,18.9864884
1688,27.7510624
1689,26.961504
1691,16.463583
1692,10.3216877
1727,8.8713866
1728,8.7667475
1731,11.3398886
1732,-8.2128382
1733,30.9476548
1734,8.1108618
1735,-12.2399998
1736,23.5219612
1737,16.9931984
1738,-25.1247387
1739,45.9001846
1740,-13.3358803
1741,58.119091
1742,11.6647568
1743,-0.841757
1770,-4.9913692
1772,34.8308983
1773,8.0075645
1774,9.6086331
1775,37.3685036
1776,-3.3588345
1777,13.1173964
1778,8.1983662
1779,23.5941124
1780,2.8268757
1781,7.2619701
1782,36.7816696
1783,34.7686577
1784,3.2635026
