atom_id,delta_e_kj_mol,pe_eV,bulk_reference_pe_eV,x_A,y_A,z_A,first_neighbor_count
58582,-1.4305045550626505,-274146.681810289,-274146.666984154,72.98915214079243,24.061349193486087,45.76702490943532,13
62328,-0.8669316066717464,-274146.675969267,-274146.666984154,75.76423415084935,60.41024911449032,12.584921798760718,13
37902,-1.1121466659365775,-274146.678510742,-274146.666984154,47.989011878038916,26.633564931081217,14.760554685998928,13
57204,0.8339198311994213,-274146.658341184,-274146.666984154,72.23391780307591,32.0377700078647,73.78547376455592,13
61467,6.913786637494833,-274146.595327805,-274146.666984154,76.83267146600846,43.23889000706613,1.9250813877166764,10
71190,0.20284671314105684,-274146.664881796,-274146.666984154,90.10383912926763,25.42912734402082,54.5149919531298,13
65927,-1.0704285336885282,-274146.678078364,-274146.666984154,79.50977194215103,34.62883834970228,14.805028379123199,13
63367,-2.2362448834974757,-274146.690161199,-274146.666984154,81.57158609649716,79.68245856916795,15.521484998930342,13
36093,2.4702101447480023,-274146.64138223,-274146.666984154,44.21763431725523,27.51793812058104,4.341296822221628,13
75427,0.769319814792279,-274146.659010716,-274146.666984154,96.2485922080516,52.33308090009258,38.40372992225063,11
7662,-1.0514269057852899,-274146.677881426,-274146.666984154,9.659610051506032,68.81915789077715,26.50044496414438,13
29246,3.8447672989002295,-274146.627135949,-274146.666984154,33.73410784621259,65.07663228091106,5.990458300944981,11
32225,-0.920381107991771,-274146.676523232,-274146.666984154,41.76226390760434,16.27412075198513,75.91427117364499,14
56510,2.020463162873821,-274146.646043529,-274146.666984154,70.29145191087406,43.372571395438996,60.413601983201715,11
15272,4.49982628593288,-274146.620346741,-274146.666984154,19.72197908023717,28.49402914489684,25.044730329700876,11
70609,-2.400790581909463,-274146.691866595,-274146.666984154,88.3961729484438,75.67433397178112,10.693819759003002,13
36439,-0.3593357856610924,-274146.670708407,-274146.666984154,41.59034372415186,74.46436322454154,81.54571364893202,13
26135,4.366679905591831,-274146.621726706,-274146.666984154,33.72262211315204,87.68616955255132,71.0267621782608,13
47587,0.8074876753794389,-274146.658615134,-274146.666984154,59.18578539343414,10.200944807141793,17.588190127513382,13
148,0.5171913884358581,-274146.661623843,-274146.666984154,0.3727513824063433,79.84161267198701,84.64546284617606,11
51361,8.640347461809844,-274146.577433263,-274146.666984154,60.77833234871996,89.41451153001174,16.0779198205007,11
55788,5.206101329637762,-274146.613026716,-274146.666984154,67.2169663283691,79.80926026485676,61.592037372334545,11
68369,0.7156341247912473,-274146.659567129,-274146.666984154,80.1186233437046,88.07685312799202,26.74681054760346,11
1415,-0.7299534096747405,-274146.674549588,-274146.666984154,2.297752765097039,83.04565634081854,96.45912390610974,13
20548,-1.2255400906950047,-274146.679685982,-274146.666984154,25.712765120254932,46.90469038563341,59.854384654976656,13
9473,1.2789066128743354,-274146.653729221,-274146.666984154,12.60203650632115,6.481393376414613,89.24159772228704,13
